model,tag,real_n,n_params,best_val_error,final_val_error,final_train_error
clip,clip_realn0,0,166282,0.34048,0.34568,0.09524
clip,clip_realn1600,1600,166282,0.54646,0.55686,0.04812
clip,clip_realn200,200,166282,0.76998,0.77518,0.0
clip,clip_realn3200,3200,166282,0.45874,0.45874,0.19281
clip,clip_realn400,400,166282,0.70175,0.7167,0.15365
clip,clip_realn6400,6400,166282,0.37817,0.38272,0.09281
clip,clip_realn800,800,166282,0.62898,0.64392,0.08333
cnn,cnn_realn0,0,11181642,0.10006,0.10006,0.31158
cnn,cnn_realn1600,1600,11181642,0.30214,0.30734,0.40125
cnn,cnn_realn200,200,11181642,0.87914,0.87914,0.80208
cnn,cnn_realn3200,3200,11181642,0.18843,0.18843,0.43906
cnn,cnn_realn400,400,11181642,0.76673,0.76803,0.77344
cnn,cnn_realn6400,6400,11181642,0.1293,0.1293,0.33953
cnn,cnn_realn800,800,11181642,0.47563,0.47563,0.51302
dino,dino_realn0,0,922378,0.25926,0.27355,0.07778
dino,dino_realn1600,1600,922378,0.49708,0.50877,0.04812
dino,dino_realn200,200,922378,0.83041,0.83691,0.30208
dino,dino_realn3200,3200,922378,0.40546,0.41196,0.0875
dino,dino_realn400,400,922378,0.76218,0.77648,0.0
dino,dino_realn6400,6400,922378,0.30799,0.30799,0.04609
dino,dino_realn800,800,922378,0.62118,0.63873,0.00521
vit,vit_realn1600,1600,5429204,0.89734,0.91033,0.88937
vit,vit_realn200,200,5429204,0.88759,0.90253,0.82812
vit,vit_realn3200,3200,5429204,0.87394,0.88564,0.85062
vit,vit_realn400,400,5429204,0.88304,0.89344,0.84635
vit,vit_realn6400,6400,5429204,0.89344,0.90253,0.8975
vit,vit_realn800,800,5429204,0.89669,0.90188,0.86458
